YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
1981,22.68,22.72,20.44,19.15,18.34,17.4,17.42,19.65,19.87,19.61,19.29,19.61,19.66
1982,19.94,20.74,20.98,19.48,18.71,18.22,18.69,20.44,20.38,19.15,19.13,19.48,19.61
1983,20.5,21.83,21.86,19.8,18.86,19.21,19.69,21.4,22.54,20.82,20.73,20.01,20.59
1984,20.9,22.62,21.41,19.9,18.94,19.94,20.43,21.55,22.19,20.62,18.78,19.96,20.6
1985,20.89,19.74,19.84,18.88,17.84,17.62,18.34,20.51,21.24,20.16,19.22,20.2,19.55
1986,20.7,20.7,19.61,19.01,18.38,17.81,18.57,21.19,21.46,20.21,18.95,18.79,19.61
1987,19.71,20.29,19.87,19.4,18.53,17.55,18.54,20.33,21.49,21.11,20.02,20.96,19.82
1988,21.03,21.76,20.91,19.87,18.73,19.26,20.08,21.87,22.25,20.92,19.56,18.91,20.42
1989,19.83,20.87,20.83,19.19,18.31,18.24,19.25,21.57,21.47,21.02,20.62,19.48,20.05
1990,20,20.52,19.71,19.62,18.65,18.3,18.85,21.44,21.57,20.76,20.23,19.07,19.89
1991,21.25,21.87,21.46,19.34,18.84,18.73,18.88,21.22,22.76,20.97,20.65,21.3,20.6
1992,22.87,23.3,23.87,21.16,19.7,20.55,21.35,22.53,22.31,22.81,21.07,20.19,21.8
1993,20.4,21.75,21.43,21.09,19.93,20.83,20.98,22.05,23.87,22.8,21.19,21.19,21.45
1994,22.19,22.06,21.27,20.12,20.09,20.66,20.74,22.82,22.58,20.72,20.01,20.08,21.11
1995,21.51,21.97,20.94,19.76,18.94,19.55,20.16,21.9,22.11,20.92,21.03,20.1,20.73
1996,20.99,20.9,20.76,19.58,18.58,18.12,18.85,19.72,19.88,20.12,19.39,20.34,19.76
1997,20.75,22.3,20.99,19.21,18.19,18.42,18.56,20.6,21.75,20.04,19.33,19.48,19.95
1998,20.48,21.57,21.86,21.17,20.15,20.32,20.97,23.12,22.62,22.14,21.65,22.25,21.52
1999,21.18,24.67,21.84,20.65,21.36,22.16,22.05,21.88,23.12,23.3,20.21,20.85,21.92
2000,22.83,23.33,21.47,19.48,19.92,19.77,20.49,21.69,22.82,21.09,19.69,20.11,21.05
2001,20.07,21.49,21.09,20.01,19.68,20,20.33,20.7,21.9,20.97,20.26,21.45,20.65
2002,20.55,22.06,21.02,20.05,20.67,21.63,22.3,21.76,22.55,20.76,19.99,20.42,21.14
2003,21.31,22.86,22.81,20.94,19.25,19.83,18.77,20.65,20.89,20.83,19.96,20.31,20.69
2004,20.46,21.33,20.09,19.41,18.85,17.4,18.02,19.98,20.3,20.07,19.33,19.64,19.57
2005,20.01,21.12,20.28,19.79,19.07,19.12,19.05,21.05,21.37,20.8,20.46,21.52,20.3
2006,22.37,22.1,20.1,19.69,19.52,19.55,20.3,20.85,21.75,21.62,19.69,19.62,20.59
2007,20.44,20.07,19.72,19.54,18.65,17.63,17.92,19.11,19.83,19.76,19.42,19.33,19.28
2008,19.95,19.36,19.26,18.67,18.48,17.04,17.28,19.1,19.73,19.64,20.12,20.05,19.05
2009,20.02,19.32,19.55,18.73,18.42,18.15,18.01,20.51,21.21,20.46,19.58,19.69,19.48
2010,20.05,20.51,19.95,19.48,18.98,18.59,18.83,20.67,21.09,21.55,19.76,19.08,19.87
2011,20.05,20.87,20.35,18.96,19.1,19,19.52,20.45,19.97,18.97,19.23,19.51,19.65
2012,20.51,20.68,20.49,19.77,18.77,18.13,18.69,20.01,20.59,20.6,18.99,19.1,19.69
2013,20.5,20.78,20.4,19.49,18.89,18.54,19.65,20.69,21.25,21.19,20.08,20.36,20.15
2014,21.65,21.27,20.38,19.58,19.67,19.29,20.28,20.51,20.48,20.2,19.43,19.95,20.22
2015,20.46,21.23,20.96,19.78,19.58,19.85,21.12,22.69,22.44,21.25,19.7,19.97,20.75
2016,20.55,22.26,22.64,20.26,19.42,19.19,20.11,22.4,22.17,21.19,19.94,21.07,20.93
2017,22.86,21.81,20.47,20.09,20.05,21.27,22.24,22.36,22.31,21.9,19.76,20.82,21.33
2018,19.82,21.83,19.37,19.06,18.81,17.8,17.47,19.42,20.75,20.32,19.68,19.59,19.48
2019,20.44,21.09,21.14,20.36,19.71,19.24,19.85,20.98,21.93,19.45,19.44,19.82,20.28
2020,19.93,20.11,20.1,19.72,19.32,17.98,17.62,19.51,20.41,20.03,19.43,19.48,19.47
2021,19.23,19.73,19.14,18.94,19.3,18.07,17.92,19.69,20.29,20.86,19.73,19.41,19.36
2022,19.69,19.41,19.51,19.19,19.06,17.61,17.62,18.94,19.71,19.87,19.24,19.4,19.1
